sample_id,duration_s,text_dimension,audio_dimension,vision_dimension,aligned_windows,window_seconds,text_valid_windows,audio_signal_windows,face_valid_windows,asr_anchor_accepted,feature_file,mapping_file
-3g5yACwYnA$_$13,5.399,50×768,50×50,50×35,50,0.108,16,50,50,True,8dc631ecd84c3dceaabe.npz,8dc631ecd84c3dceaabe.json
-3g5yACwYnA$_$3,14.328,50×768,50×50,50×35,50,0.287,29,50,50,True,1866c58309df2568c26c.npz,1866c58309df2568c26c.json
-3g5yACwYnA$_$2,9.231,50×768,50×50,50×35,50,0.185,15,50,50,True,54a75b973c744a6ad529.npz,54a75b973c744a6ad529.json
-3g5yACwYnA$_$9,8.696,50×768,50×50,50×35,50,0.174,26,50,50,True,fbe93e7b19a575ff5268.npz,fbe93e7b19a575ff5268.json
-3nNcZdcdvU$_$5,7.789,50×768,50×50,50×35,50,0.156,19,50,50,True,64f471f84f14d9784930.npz,64f471f84f14d9784930.json
-HwX2H8Z4hY$_$2,3.916,50×768,50×50,50×35,50,0.078,12,50,16,False,0f9318061635cc56d48d.npz,0f9318061635cc56d48d.json
-HwX2H8Z4hY$_$5,5.544,50×768,50×50,50×35,50,0.111,10,50,19,True,2cb3964c1452f52fbf4f.npz,2cb3964c1452f52fbf4f.json
-HwX2H8Z4hY$_$6,3.256,50×768,50×50,50×35,50,0.065,8,50,32,True,75ed5bba159cc8eac271.npz,75ed5bba159cc8eac271.json
-HwX2H8Z4hY$_$9,7.636,50×768,50×50,50×35,50,0.153,22,50,50,True,30dd7a1cfaa0a1e4919d.npz,30dd7a1cfaa0a1e4919d.json
-NFrJFQijFE$_$1,5.659,50×768,50×50,50×35,50,0.113,14,50,0,False,ffc3558fb398604cae5d.npz,ffc3558fb398604cae5d.json
-NFrJFQijFE$_$2,6.698,50×768,50×50,50×35,50,0.134,15,50,0,False,18b60ca4ad355ab4af5b.npz,18b60ca4ad355ab4af5b.json
-THoVjtIkeU$_$12,14.806,50×768,50×50,50×35,50,0.296,38,50,50,True,6f2c9db49ae091d735b2.npz,6f2c9db49ae091d735b2.json
-THoVjtIkeU$_$2,4.231,50×768,50×50,50×35,50,0.085,11,50,50,True,87f25ab864064b50714a.npz,87f25ab864064b50714a.json
-THoVjtIkeU$_$6,7.983,50×768,50×50,50×35,50,0.160,32,50,50,True,6aedcfc6c3769c4d428d.npz,6aedcfc6c3769c4d428d.json
-UuX1xuaiiE$_$1,10.268,50×768,50×50,50×35,50,0.205,31,50,50,True,df0a27c811a15450f406.npz,df0a27c811a15450f406.json
-UuX1xuaiiE$_$0,3.576,50×768,50×50,50×35,50,0.072,10,50,50,True,b61b02caac835f9404d5.npz,b61b02caac835f9404d5.json
-UuX1xuaiiE$_$3,4.038,50×768,50×50,50×35,50,0.081,9,50,50,True,1812019906309aef2ce7.npz,1812019906309aef2ce7.json
-UuX1xuaiiE$_$6,7.944,50×768,50×50,50×35,50,0.159,23,50,50,True,a8bdd782de06cfb884ac.npz,a8bdd782de06cfb884ac.json
-a55Q6RWvTA$_$3,22.083,50×768,50×50,50×35,50,0.442,49,50,50,True,a06ea086a55386fc6e71.npz,a06ea086a55386fc6e71.json
-aNfi7CP8vM$_$7,8.538,50×768,50×50,50×35,50,0.171,21,50,50,True,ee914784c64478edf239.npz,ee914784c64478edf239.json
-aqamKhZ1Ec$_$0,10.890,50×768,50×50,50×35,50,0.218,16,50,50,True,a103afb915b901c80b24.npz,a103afb915b901c80b24.json
-dxfTGcXJoc$_$1,16.018,50×768,50×50,50×35,50,0.320,40,50,50,True,cea146686e26052e922e.npz,cea146686e26052e922e.json
-dxfTGcXJoc$_$0,20.410,50×768,50×50,50×35,50,0.408,42,50,39,True,b94bedbf07224e282c97.npz,b94bedbf07224e282c97.json
-dxfTGcXJoc$_$2,16.633,50×768,50×50,50×35,50,0.333,36,50,50,True,8ad780a2236e43938da9.npz,8ad780a2236e43938da9.json
-dxfTGcXJoc$_$6,12.628,50×768,50×50,50×35,50,0.253,30,50,50,True,11cbccbedf4525f05de3.npz,11cbccbedf4525f05de3.json
-egA8-b7-3M$_$26,5.921,50×768,50×50,50×35,50,0.118,16,50,50,True,dccc542491dbe20b704d.npz,dccc542491dbe20b704d.json
-egA8-b7-3M$_$17,7.095,50×768,50×50,50×35,50,0.142,19,50,50,True,a5806bde00bebeb5d6ae.npz,a5806bde00bebeb5d6ae.json
-egA8-b7-3M$_$18,8.266,50×768,50×50,50×35,50,0.165,23,50,50,True,c89c92c8c2c26e86085d.npz,c89c92c8c2c26e86085d.json
-egA8-b7-3M$_$16,5.483,50×768,50×50,50×35,50,0.110,13,50,50,True,3f6851585750ba5df5df.npz,3f6851585750ba5df5df.json
-egA8-b7-3M$_$13,4.024,50×768,50×50,50×35,50,0.080,14,50,50,True,799b298022520321bf51.npz,799b298022520321bf51.json
-egA8-b7-3M$_$1,10.156,50×768,50×50,50×35,50,0.203,22,50,50,True,1e7b7bf0f41145eadf48.npz,1e7b7bf0f41145eadf48.json
-egA8-b7-3M$_$6,6.183,50×768,50×50,50×35,50,0.124,13,50,50,True,2cc54fd68cff1ab3809b.npz,2cc54fd68cff1ab3809b.json
-egA8-b7-3M$_$9,4.936,50×768,50×50,50×35,50,0.099,12,50,50,True,124a2b0e45c71df5f291.npz,124a2b0e45c71df5f291.json
-egA8-b7-3M$_$20,6.474,50×768,50×50,50×35,50,0.129,22,50,50,True,20d7fe7e0601f6581fa0.npz,20d7fe7e0601f6581fa0.json
-iRBcNs9oI8$_$3,5.538,50×768,50×50,50×35,50,0.111,9,50,50,False,ca750a23729cbd35ab6c.npz,ca750a23729cbd35ab6c.json
-iRBcNs9oI8$_$7,4.006,50×768,50×50,50×35,50,0.080,13,50,50,False,62544c7d451d27947531.npz,62544c7d451d27947531.json
-iRBcNs9oI8$_$6,2.820,50×768,50×50,50×35,50,0.056,5,50,50,False,841d2f0b2bb57d1e8ed7.npz,841d2f0b2bb57d1e8ed7.json
-iRBcNs9oI8$_$9,3.374,50×768,50×50,50×35,50,0.067,5,50,46,False,85516e38b8762f2a0c5f.npz,85516e38b8762f2a0c5f.json
-iRBcNs9oI8$_$8,8.026,50×768,50×50,50×35,50,0.161,24,50,50,False,d60fe163ddbf9eb08215.npz,d60fe163ddbf9eb08215.json
-lzEya4AM_4$_$5,7.570,50×768,50×50,50×35,50,0.151,21,50,50,True,55d9636ac1f3378df52f.npz,55d9636ac1f3378df52f.json
-lzEya4AM_4$_$6,14.740,50×768,50×50,50×35,50,0.295,41,50,50,True,6c59ffb1b8f70975298b.npz,6c59ffb1b8f70975298b.json
-mJ2ud6oKI8$_$1,6.054,50×768,50×50,50×35,50,0.121,13,0,0,False,90d8637bb6f98e9bb648.npz,90d8637bb6f98e9bb648.json
-mJ2ud6oKI8$_$2,5.702,50×768,50×50,50×35,50,0.114,11,0,33,False,9d4a5f8e9cb30e09a365.npz,9d4a5f8e9cb30e09a365.json
-mJ2ud6oKI8$_$6,2.228,50×768,50×50,50×35,50,0.045,5,50,50,False,5863088e5fe56abb27f7.npz,5863088e5fe56abb27f7.json
-mJ2ud6oKI8$_$9,6.909,50×768,50×50,50×35,50,0.138,22,50,50,False,7bd68d8febc55972ea1e.npz,7bd68d8febc55972ea1e.json
-mJ2ud6oKI8$_$8,4.171,50×768,50×50,50×35,50,0.083,11,50,50,False,c18b255f41fcee33b0f3.npz,c18b255f41fcee33b0f3.json
-mqbVkbCndg$_$0,6.386,50×768,50×50,50×35,50,0.128,17,50,50,True,b2b8dc3ec4d10059a88e.npz,b2b8dc3ec4d10059a88e.json
