sample_id,modality,position_start,position_end_exclusive,observed_positions,class_confidence_drop,intensity_change_signed,text_excerpt,estimated_start_s,estimated_end_s,time_quality
01,text,0,10,9,0.0977276861667633,-0.0762588381767273,Replacing these wear components when replacing the timing belt,0.0,3.175,asr_estimate
01,text,10,20,10,0.06412971019744873,0.20922207832336426,is essential to ensuring the new belt performs to its,3.175,7.1,asr_estimate
01,text,20,30,3,0.07004141807556152,-0.02884349226951599,mileage requirements,7.1,9.0,asr_estimate
01,text,30,40,0,0.0,0.0,,,,no_text_position
01,text,40,50,0,0.0,0.0,,,,no_text_position
01,audio,0,10,9,-0.061337947845458984,0.038519471883773804,Replacing these wear components when replacing the timing belt,0.0,3.175,asr_estimate
01,audio,10,20,10,-0.012641310691833496,-0.01249152421951294,is essential to ensuring the new belt performs to its,3.175,7.1,asr_estimate
01,audio,20,30,3,-0.0028228759765625,-0.012503087520599365,mileage requirements,7.1,9.0,asr_estimate
01,audio,30,40,0,0.0,0.0,,,,no_text_position
01,audio,40,50,0,0.0,0.0,,,,no_text_position
01,vision,0,10,9,-0.008807778358459473,-0.018618404865264893,Replacing these wear components when replacing the timing belt,0.0,3.175,asr_estimate
01,vision,10,20,10,-0.020565271377563477,-0.006072133779525757,is essential to ensuring the new belt performs to its,3.175,7.1,asr_estimate
01,vision,20,30,3,-0.042110323905944824,0.01770251989364624,mileage requirements,7.1,9.0,asr_estimate
01,vision,30,40,0,0.0,0.0,,,,no_text_position
01,vision,40,50,0,0.0,0.0,,,,no_text_position
02,text,0,10,9,-0.16441577672958374,0.49795177578926086,We want to live by each other’s,0.0,1.4325,asr_estimate
02,text,10,20,10,0.16693884134292603,-0.19968830421566963,happiness - not by each other’s misery.,1.4325,3.492969,asr_estimate
02,text,20,30,0,0.0,0.0,,,,no_text_position
02,text,30,40,0,0.0,0.0,,,,no_text_position
02,text,40,50,0,0.0,0.0,,,,no_text_position
02,audio,0,10,9,-2.3245811462402344e-06,-0.03539440035820007,We want to live by each other’s,0.0,1.4325,asr_estimate
02,audio,10,20,10,-0.003325343132019043,-0.024767115712165833,happiness - not by each other’s misery.,1.4325,3.492969,asr_estimate
02,audio,20,30,0,0.0,0.0,,,,no_text_position
02,audio,30,40,0,0.0,0.0,,,,no_text_position
02,audio,40,50,0,0.0,0.0,,,,no_text_position
02,vision,0,10,9,0.056509315967559814,-0.10594932734966278,We want to live by each other’s,0.0,1.4325,asr_estimate
02,vision,10,20,10,0.05786287784576416,-0.1004774272441864,happiness - not by each other’s misery.,1.4325,3.492969,asr_estimate
02,vision,20,30,0,0.0,0.0,,,,no_text_position
02,vision,30,40,0,0.0,0.0,,,,no_text_position
02,vision,40,50,0,0.0,0.0,,,,no_text_position
03,text,0,10,9,-0.007930576801300049,-0.018651634454727173,There's one lender at the moment,0.0,2.0300000000000002,asr_estimate
03,text,10,20,10,0.050761640071868896,-0.1152946725487709,which I think is just Bankwest who don't,2.0300000000000002,4.635,asr_estimate
03,text,20,30,10,0.1486910879611969,-0.25331988371908665,"don't take rental income into account, they take rental",4.254999999999999,7.58,asr_estimate
03,text,30,40,4,-0.07502061128616333,0.14711864292621613,yield into account.,7.58,9.663997,asr_estimate
03,text,40,50,0,0.0,0.0,,,,no_text_position
03,audio,0,10,9,0.003235459327697754,0.017406225204467773,There's one lender at the moment,0.0,2.0300000000000002,asr_estimate
03,audio,10,20,10,-0.025259852409362793,0.058201029896736145,which I think is just Bankwest who don't,2.0300000000000002,4.635,asr_estimate
03,audio,20,30,10,-0.03319418430328369,0.02531273663043976,"don't take rental income into account, they take rental",4.254999999999999,7.58,asr_estimate
03,audio,30,40,4,0.024632155895233154,-0.019617408514022827,yield into account.,7.58,9.663997,asr_estimate
03,audio,40,50,0,0.0,0.0,,,,no_text_position
03,vision,0,10,9,0.0003197789192199707,0.010791465640068054,There's one lender at the moment,0.0,2.0300000000000002,asr_estimate
03,vision,10,20,10,-0.0005761384963989258,0.017092272639274597,which I think is just Bankwest who don't,2.0300000000000002,4.635,asr_estimate
03,vision,20,30,10,-0.010220050811767578,0.03272773325443268,"don't take rental income into account, they take rental",4.254999999999999,7.58,asr_estimate
03,vision,30,40,4,-0.021579325199127197,0.05009277164936066,yield into account.,7.58,9.663997,asr_estimate
03,vision,40,50,0,0.0,0.0,,,,no_text_position
04,text,0,10,9,-0.011362552642822266,0.007219430059194565,"If I blow it at the team exercise,",0.0,2.01,asr_estimate
04,text,10,20,10,0.05900821089744568,-0.09622231125831604,"should I kiss my chances of cheering ""GO BLUE",2.01,4.1425,asr_estimate
04,text,20,30,7,0.3420454412698746,-0.8294427543878555,""" goodbye?] Absolutely not.",4.1425,6.99401,asr_estimate
04,text,30,40,0,0.0,0.0,,,,no_text_position
04,text,40,50,0,0.0,0.0,,,,no_text_position
04,audio,0,10,9,-0.046439170837402344,0.17428094148635864,"If I blow it at the team exercise,",0.0,2.01,asr_estimate
04,audio,10,20,10,-0.06532204151153564,0.1601904258131981,"should I kiss my chances of cheering ""GO BLUE",2.01,4.1425,asr_estimate
04,audio,20,30,7,-0.07831215858459473,0.20411501824855804,""" goodbye?] Absolutely not.",4.1425,6.99401,asr_estimate
04,audio,30,40,0,0.0,0.0,,,,no_text_position
04,audio,40,50,0,0.0,0.0,,,,no_text_position
04,vision,0,10,9,-0.04847997426986694,0.07917511835694313,"If I blow it at the team exercise,",0.0,2.01,asr_estimate
04,vision,10,20,10,-0.03277242183685303,0.18805624544620514,"should I kiss my chances of cheering ""GO BLUE",2.01,4.1425,asr_estimate
04,vision,20,30,7,-0.07548177242279053,0.14247126132249832,""" goodbye?] Absolutely not.",4.1425,6.99401,asr_estimate
04,vision,30,40,0,0.0,0.0,,,,no_text_position
04,vision,40,50,0,0.0,0.0,,,,no_text_position
05,text,0,10,9,0.05946439504623413,0.11466813087463379,"Hi, my name is Chloe, video marketer",0.0,3.9299999999999997,asr_estimate
05,text,10,20,6,-0.03399175405502319,-0.057840049266815186,marketer for Red Wagon Marketing.,3.4699999999999998,6.1,asr_estimate
05,text,20,30,0,0.0,0.0,,,,no_text_position
05,text,30,40,0,0.0,0.0,,,,no_text_position
05,text,40,50,0,0.0,0.0,,,,no_text_position
05,audio,0,10,9,-0.009975612163543701,-0.09811437129974365,"Hi, my name is Chloe, video marketer",0.0,3.9299999999999997,asr_estimate
05,audio,10,20,6,-0.009616374969482422,-0.08441656827926636,marketer for Red Wagon Marketing.,3.4699999999999998,6.1,asr_estimate
05,audio,20,30,0,0.0,0.0,,,,no_text_position
05,audio,30,40,0,0.0,0.0,,,,no_text_position
05,audio,40,50,0,0.0,0.0,,,,no_text_position
05,vision,0,10,9,0.09633642435073853,0.27284348011016846,"Hi, my name is Chloe, video marketer",0.0,3.9299999999999997,asr_estimate
05,vision,10,20,6,0.024220407009124756,0.060002684593200684,marketer for Red Wagon Marketing.,3.4699999999999998,6.1,asr_estimate
05,vision,20,30,0,0.0,0.0,,,,no_text_position
05,vision,30,40,0,0.0,0.0,,,,no_text_position
05,vision,40,50,0,0.0,0.0,,,,no_text_position
06,text,0,10,9,0.13558128476142883,0.11789071559906006,If you're a fan of dancing in,0.0,1.51,asr_estimate
06,text,10,20,10,0.08097028732299805,0.08161497116088867,"that sense, just like to watch people dance,",1.51,3.6425,asr_estimate
06,text,20,30,10,0.08238226175308228,0.07868266105651855,see impressive dance moves then you might want to check,3.6425,6.24,asr_estimate
06,text,30,40,6,0.042687058448791504,0.04886472225189209,out this movie solely for that,6.24,8.305013,asr_estimate
06,text,40,50,0,0.0,0.0,,,,no_text_position
06,audio,0,10,9,-0.020867884159088135,-0.025041401386260986,If you're a fan of dancing in,0.0,1.51,asr_estimate
06,audio,10,20,10,-0.03939473628997803,-0.04882669448852539,"that sense, just like to watch people dance,",1.51,3.6425,asr_estimate
06,audio,20,30,10,-0.060746848583221436,-0.05536925792694092,see impressive dance moves then you might want to check,3.6425,6.24,asr_estimate
06,audio,30,40,6,-0.055186688899993896,-0.06954479217529297,out this movie solely for that,6.24,8.305013,asr_estimate
06,audio,40,50,0,0.0,0.0,,,,no_text_position
06,vision,0,10,9,-0.01853334903717041,-0.022459447383880615,If you're a fan of dancing in,0.0,1.51,asr_estimate
06,vision,10,20,10,-0.03267467021942139,-0.044646620750427246,"that sense, just like to watch people dance,",1.51,3.6425,asr_estimate
06,vision,20,30,10,-0.015735328197479248,-0.018107235431671143,see impressive dance moves then you might want to check,3.6425,6.24,asr_estimate
06,vision,30,40,6,-0.006565272808074951,-0.0029256343841552734,out this movie solely for that,6.24,8.305013,asr_estimate
06,vision,40,50,0,0.0,0.0,,,,no_text_position
07,text,0,10,9,-0.057825565338134766,-0.060395121574401855,As Linn’s associate editor Michael Baadke,0.0,2.2600000000000002,asr_estimate
