sample_id,video_id,clip_id,relative_path,label_match,duration_seconds,width,height,frame_rate,video_codec,audio_codec,has_audio,has_video,error
-3g5yACwYnA$_$13,-3g5yACwYnA,13,-3g5yACwYnA\13.mp4,True,5.513997,1280,720,30/1,h264,aac,True,True,
-3g5yACwYnA$_$2,-3g5yACwYnA,2,-3g5yACwYnA\2.mp4,True,9.39401,1280,720,30/1,h264,aac,True,True,
-3g5yACwYnA$_$3,-3g5yACwYnA,3,-3g5yACwYnA\3.mp4,True,14.388997,1280,720,30/1,h264,aac,True,True,
-3g5yACwYnA$_$9,-3g5yACwYnA,9,-3g5yACwYnA\9.mp4,True,8.816992,1280,720,30/1,h264,aac,True,True,
-3nNcZdcdvU$_$5,-3nNcZdcdvU,5,-3nNcZdcdvU\5.mp4,True,7.867969,320,240,30/1,h264,aac,True,True,
-571d8cVauQ$_$0,-571d8cVauQ,0,-571d8cVauQ\0.mp4,True,5.066667,486,360,30/1,h264,aac,True,True,
-571d8cVauQ$_$5,-571d8cVauQ,5,-571d8cVauQ\5.mp4,True,15.272982,486,360,30/1,h264,aac,True,True,
-6rXp3zJ3kc$_$8,-6rXp3zJ3kc,8,-6rXp3zJ3kc\8.mp4,True,12.805013,480,270,30/1,h264,aac,True,True,
-9y-fZ3swSY$_$0,-9y-fZ3swSY,0,-9y-fZ3swSY\0.mp4,True,6.833333,1280,720,30/1,h264,aac,True,True,
-9y-fZ3swSY$_$4,-9y-fZ3swSY,4,-9y-fZ3swSY\4.mp4,True,2.821029,1280,720,30/1,h264,aac,True,True,
-9y-fZ3swSY$_$8,-9y-fZ3swSY,8,-9y-fZ3swSY\8.mp4,True,4.988997,1280,720,30/1,h264,aac,True,True,
-a55Q6RWvTA$_$3,-a55Q6RWvTA,3,-a55Q6RWvTA\3.mp4,True,22.153971,480,270,30/1,h264,aac,True,True,
-aNfi7CP8vM$_$7,-aNfi7CP8vM,7,-aNfi7CP8vM\7.mp4,True,8.694987,480,360,30/1,h264,aac,True,True,
-aqamKhZ1Ec$_$0,-aqamKhZ1Ec,0,-aqamKhZ1Ec\0.mp4,True,10.966667,1280,720,30/1,h264,aac,True,True,
-AUZQgSxyPQ$_$2,-AUZQgSxyPQ,2,-AUZQgSxyPQ\2.mp4,True,22.511003,1280,720,30/1,h264,aac,True,True,
-dxfTGcXJoc$_$0,-dxfTGcXJoc,0,-dxfTGcXJoc\0.mp4,True,20.5,320,240,30/1,h264,aac,True,True,
-dxfTGcXJoc$_$1,-dxfTGcXJoc,1,-dxfTGcXJoc\1.mp4,True,16.161003,320,240,30/1,h264,aac,True,True,
-dxfTGcXJoc$_$2,-dxfTGcXJoc,2,-dxfTGcXJoc\2.mp4,True,16.697982,320,240,30/1,h264,aac,True,True,
-dxfTGcXJoc$_$6,-dxfTGcXJoc,6,-dxfTGcXJoc\6.mp4,True,12.735026,320,240,30/1,h264,aac,True,True,
-egA8-b7-3M$_$1,-egA8-b7-3M,1,-egA8-b7-3M\1.mp4,True,10.266016,640,360,30/1,h264,aac,True,True,
-egA8-b7-3M$_$13,-egA8-b7-3M,13,-egA8-b7-3M\13.mp4,True,4.183984,640,360,30/1,h264,aac,True,True,
-egA8-b7-3M$_$16,-egA8-b7-3M,16,-egA8-b7-3M\16.mp4,True,5.538021,640,360,30/1,h264,aac,True,True,
